"SERIES_CODE","COUNTRY.ID","COUNTRY","INDICATOR.ID","INDICATOR","SCALE.ID","SCALE","UNIT.ID","UNIT","COUNTRY_UPDATE_DATE","METHODOLOGY","METHODOLOGY_NOTES","KEY_INDICATOR","SERIES_NAME","LATEST_ACTUAL_ANNUAL_DATA","HISTORICAL_DATA_SOURCE","BASE_YEAR","START_END_MONTHS_OF_REPORTING_YEAR","CHAIN_WEIGHTED","PRIMARY_DOMESTIC_CURRENCY","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","X2024","X2025","X2026","X2027","X2028","X2029","X2030"
"G510.NGDPRPPPPC.A","G510","ASEAN-5","NGDPRPPPPC","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",0,"Units","","","","","","","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021","","","","","","",4258.377,4439.345,4514.935,4621.764,4720.432,4676.239,4816.102,5047.314,5389.488,5779.964,6157.541,6499.569,6811.223,7222.191,7647.382,8108.445,8525.377,8694.085,7804.867,7932.272,8297.092,8386.049,8661.545,9006.506,9423.047,9777.182,10188.424,10691.66,11049.338,11094.122,11778.799,12127.001,12704.684,13146.744,13544.13,13993.655,14479.716,15063.165,15640.585,16134.088,15247.517,15751.825,16470.956,16975.666,17592.841,18159.714,18735.317,19375.407,20049.667,20774.138,21536.834
"G110.NGDPRPPPPC.A","G110","Advanced Economies","NGDPRPPPPC","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",0,"Units","","","","","","","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021","","","","","","",29828.965,30261.445,30117.265,30862.311,32134.611,33117.372,33995.677,35060.237,36475.414,37653.781,38462.248,38711.959,39006.228,39003.643,40041.256,40696.883,41658.049,42852.514,43785.84,45083.705,46665.188,47115.674,47567.723,48219.905,49470.821,50543.027,51766.455,52833.463,52647.845,50567.234,51842.649,52462.38,52796.209,53337.624,54188.822,55178.774,55899.284,57111.097,58169.286,59021.211,56421.826,59761.818,61219.799,61791.226,62503.028,63263.849,64141.747,65071.322,66007.681,66878.961,67711.114
"AFG.NGDP_R.A","AFG","Afghanistan, Islamic Republic of","NGDP_R","Gross domestic product (GDP), Constant prices, Domestic currency",9,"Billions","XDC","Domestic currency","9/23/2025","System of National Accounts (SNA) 2008","Historical data through 2020 are presented on a calendar year basis having been converted from original source data compiled in solar year (through 2015) and calendar year (2016-20). From 2021 onwards, data are compiled by the source and presented on the basis of the solar year. Solar year (March 21 - March 20) data are mapped to calendar year such that SY(t/t+1)=CY(t).
Historical data source: The National Statistics and Information Authority, and IMF Staff estimates.","true","Gross domestic product (GDP), Constant prices, Domestic currency","FY2024/25","National Statistics Office","2016","April/March","No","Afghan afghani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453.484,492.903,496.209,554.91,584.658,662.65,688.247,829.924,899.956,958.266,1092.118,1154.178,1185.306,1197.012,1222.917,1255.288,1270.216,1319.902,1288.869,1101.445,1032.712,1056.123,1074.604,NA,NA,NA,NA,NA,NA
"AFG.NGDPRPC.A","AFG","Afghanistan, Islamic Republic of","NGDPRPC","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency",0,"Units","XDC","Domestic currency","9/23/2025","System of National Accounts (SNA) 2008","Historical data through 2020 are presented on a calendar year basis having been converted from original source data compiled in solar year (through 2015) and calendar year (2016-20). From 2021 onwards, data are compiled by the source and presented on the basis of the solar year. Solar year (March 21 - March 20) data are mapped to calendar year such that SY(t/t+1)=CY(t).
Historical data source: The National Statistics and Information Authority, and IMF Staff estimates.","true","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","FY2024/25","National Statistics Office","2016","April/March","No","Afghan afghani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21594.23,21766.381,21067.277,22731.779,22979.189,25581.687,26043.149,30305.446,31925.042,32762.181,35846.549,36592.701,36229.944,35463.357,35307.471,35217.934,34623.252,34946.23,33071.48,27467.825,25311.569,25026.621,24775.903,NA,NA,NA,NA,NA,NA
"AFG.NGDPRPPPPC.A","AFG","Afghanistan, Islamic Republic of","NGDPRPPPPC","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",0,"Units","","","9/23/2025","System of National Accounts (SNA) 2008","Historical data through 2020 are presented on a calendar year basis having been converted from original source data compiled in solar year (through 2015) and calendar year (2016-20). From 2021 onwards, data are compiled by the source and presented on the basis of the solar year. Solar year (March 21 - March 20) data are mapped to calendar year such that SY(t/t+1)=CY(t).
Historical data source: The National Statistics and Information Authority, and IMF Staff estimates.","","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021","FY2024/25","National Statistics Office","2016","April/March","No","Afghan afghani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1681.504,1694.909,1640.471,1770.083,1789.348,1992,2027.933,2359.83,2485.945,2551.132,2791.306,2849.408,2821.16,2761.468,2749.329,2742.357,2696.05,2721.2,2575.216,2138.87,1970.966,1948.778,1929.255,NA,NA,NA,NA,NA,NA
"ALB.NGDP_R.A","ALB","Albania","NGDP_R","Gross domestic product (GDP), Constant prices, Domestic currency",9,"Billions","XDC","Domestic currency","9/15/2025","European System of Accounts (ESA) 2010","Historical data source: Official national accounts, including real GDP growth, rates available from 1996 onwards. Base year: Instat changed the base year to calculate real GDP to 2020 and provided revised data only after 2019. They are still working on historical revision of the whole data series. To avoid discontinuity between 2018 and 2019, we followed the advice from the WEO team and delete all involved series before 2019.","true","Gross domestic product (GDP), Constant prices, Domestic currency","2024","IMF Staff Estimates","2020","January/December","Yes, from 2020","Albanian lek",638.627,675.029,694.605,702.245,716.29,705.546,745.056,739.096,728.749,800.166,720.149,518.507,481.175,527.368,576.94,628.288,685.462,610.581,664.491,750.149,802.256,868.79,908.203,958.414,1011.269,1067.156,1130.146,1197.766,1287.599,1330.789,1380.12,1415.249,1435.311,1449.693,1475.417,1508.285,1567.243,1618.698,1678.128,1712.74,1655.984,1804.519,1891.62,1967.577,2047.185,2115.936,2191.523,2269.231,2348.234,2430.738,2515.74
"ALB.NGDPRPC.A","ALB","Albania","NGDPRPC","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency",0,"Units","XDC","Domestic currency","9/15/2025","European System of Accounts (ESA) 2010","Historical data source: Official national accounts, including real GDP growth, rates available from 1996 onwards. Base year: Instat changed the base year to calculate real GDP to 2020 and provided revised data only after 2019. They are still working on historical revision of the whole data series. To avoid discontinuity between 2018 and 2019, we followed the advice from the WEO team and delete all involved series before 2019.","true","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","2024","IMF Staff Estimates","2020","January/December","Yes, from 2020","Albanian lek",239007.375,247621.006,249473.853,246925.137,246619.944,237977.202,246492.325,239685.653,231912.989,247887.243,219120.675,158720.792,148188.844,163408.999,179870.251,197092.398,216368.391,193941.053,212397.277,241300.249,259711.687,283902.21,297672.943,315307.695,334089.638,354361.966,377653.637,403285.799,436872.074,454579.062,473776.128,487144.39,494866.39,500741.467,510683.319,523582.32,544919.337,563327.863,585452.711,600079.036,583534.975,641797.113,681005.008,715505.56,751974.297,785079.037,821337.61,859051.519,897938.594,938875.669,981523.047
"ALB.NGDPRPPPPC.A","ALB","Albania","NGDPRPPPPC","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",0,"Units","","","9/15/2025","European System of Accounts (ESA) 2010","Historical data source: Official national accounts, including real GDP growth, rates available from 1996 onwards. Base year: Instat changed the base year to calculate real GDP to 2020 and provided revised data only after 2019. They are still working on historical revision of the whole data series. To avoid discontinuity between 2018 and 2019, we followed the advice from the WEO team and delete all involved series before 2019.","","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021","2024","IMF Staff Estimates","2020","January/December","Yes, from 2020","Albanian lek",6090.503,6310,6357.215,6292.267,6284.49,6064.252,6281.238,6107.787,5909.72,6316.784,5583.74,4044.601,3776.221,4164.068,4583.542,5022.405,5513.605,4942.101,5412.411,6148.931,6618.1,7234.535,7585.448,8034.825,8513.436,9030.025,9623.555,10276.726,11132.588,11583.806,12072.995,12413.652,12610.428,12760.139,13013.483,13342.181,13885.902,14354.997,14918.793,15291.508,14869.924,16354.589,17353.703,18232.863,19162.178,20005.769,20929.727,21890.772,22881.711,23924.89,25011.651
"DZA.NGDP_R.A","DZA","Algeria","NGDP_R","Gross domestic product (GDP), Constant prices, Domestic currency",9,"Billions","XDC","Domestic currency","9/12/2025","System of National Accounts (SNA) 2008","From 2001 and onward, the nominal GDP and its components are computed according to the 2008 System of National Accounts (SNA) standard with base year 2001. Before 2001, these data are based on the 1968 SNA with base year 1989.","true","Gross domestic product (GDP), Constant prices, Domestic currency","2024","National Statistics Office","2001","January/December","Yes, from 2005","Algerian dinar",2817.799,2902.333,3088.082,3254.838,3437.109,3629.587,3622.328,3596.972,3528.63,3698.004,3727.588,3682.857,3741.782,3663.112,3630.144,3769.821,3913.074,3956.118,4157.88,4290.932,4453.987,4587.607,4835.338,5149.635,5381.368,5671.962,5836.449,6017.379,6167.813,6241.827,6541.435,6737.678,6899.382,7078.766,7368.996,7604.803,7901.391,8019.912,8132.19,8205.38,7795.111,8091.325,8382.613,8726.3,9049.173,9352.958,9620.513,9885.021,10155.718,10409.054,10667.592
"DZA.NGDPRPC.A","DZA","Algeria","NGDPRPC","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency",0,"Units","XDC","Domestic currency","9/12/2025","System of National Accounts (SNA) 2008","From 2001 and onward, the nominal GDP and its components are computed according to the 2008 System of National Accounts (SNA) standard with base year 2001. Before 2001, these data are based on the 1968 SNA with base year 1989.","true","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","2024","National Statistics Office","2001","January/December","Yes, from 2005","Algerian dinar",150958.885,150801.863,155461.234,158648.773,162319.213,163494.921,158874.049,153716.753,146416.163,149716.746,148972.415,143620.353,142430.148,136205.542,132024.434,134348.567,136983.616,136206.5,140911.642,143198.13,146003.651,148207.243,153923.021,161506.499,166266.091,172636.195,175000.722,177723.995,178306.886,176982.739,181817.637,183502.955,184008.062,184838.661,188397.904,190296.111,193490.813,192227.216,190995.125,188959.565,177763.589,181514.54,185084.018,189811.996,194079.116,197940.059,201053.07,204131.283,207234.521,209885.392,210468.181
